,0
0,-63.46054508275023
1,-32.37847434940325
2,-34.745973691521485
3,-37.16788164205228
4,-32.0539326257679
5,-34.363647882580025
6,-33.49433400695822
7,-28.64611583633331
8,-34.46116490922928
9,-33.11422737525142
10,-32.31258865065243
11,-35.581068653661504
12,-36.666097171717716
13,-37.20623000296671
14,-31.690018075843895
15,-31.061611985793935
16,-31.05214507516951
17,-31.166434745658094
18,-45.49801373354236
19,-33.12623275330374
20,-30.718031205112453
21,-36.95993964139527
22,-32.55665269247964
23,-51.619029674323
24,-30.282980038785997
25,-30.431460400370135
26,-35.613002107417415
27,-43.1884815553319
28,-36.072854118370536
29,-30.528906385223618
30,-33.55722993448413
31,-32.66989927240235
32,-35.17627653427739
33,-31.679841285414255
34,-36.68417395168262
35,-32.61309142021474
36,-33.83951411578833
37,-33.735800768487955
38,-33.198615585838354
39,-40.708859840051346
40,-36.68417395168262
41,-35.98893182649837
42,-35.72570290533895
43,-36.885541844892686
44,-38.01105437853166
45,-61.68172341601461
46,-33.13825474780157
47,-37.400553312212516
48,-39.96508074019487
49,-37.20623000296671
50,-36.29492435629397
51,-45.10757093949286
52,-46.50236473578853
53,-33.74869741471482
54,-35.29883080216743
55,-42.178195090515246
56,-38.37705678666515
57,-59.42763781218885
58,-42.59687322722811
